#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
Prokka_on_dataset_61__gbk	KHHNCJJN_2	73718	74206	-	psaF	1-489/489	===============	0/0	100.00	100.00	vfdb	YP_002346327	(psaF) PsaF [Myf/pH6 antigen (VF0134)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_2	74203	74847	-	psaE	1-645/645	===============	0/0	100.00	100.00	vfdb	YP_002346326	(psaE) regulatory protein PsaE [Myf/pH6 antigen (VF0134)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_20	55968	57109	+	flhB	1-1145/1152	========/======	1/3	99.13	84.19	vfdb	YP_001006771	(flhB) flagellar biosynthetic protein FlhB [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_20	57128	59204	+	flhA	1-2077/2079	===============	0/0	99.90	81.75	vfdb	YP_001006770	(flhA) flagellar biosynthesis protein FlhA [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_22	46868	47228	+	flhD	1-360/360	========/======	1/1	100.00	89.47	vfdb	YP_001006784	(flhD) flagellar transcriptional activator FlhD [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_22	47232	47813	+	flhC	1-582/582	===============	0/0	100.00	86.77	vfdb	YP_001006783	(flhC) flagellar biosynthesis transcription activator FlhC [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_22	48018	48905	+	motA	1-888/888	===============	0/0	100.00	83.78	vfdb	YP_001006782	(motA) flagellar motor protein MotA [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_22	52530	53009	+	cheW	1-480/498	===============	0/0	96.39	84.58	vfdb	YP_001006779	(cheW) purine-binding chemotaxis protein CheW [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_24	44350	44898	-	ail	1-549/549	===============	0/0	100.00	100.00	vfdb	NP_406409	(ail) attachment invasion locus protein [Ail (VF0132)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_29	16591	19803	-	yapE	1-3213/3213	===============	0/0	100.00	100.00	vfdb	YP_002348854	(yapE) autotransporter protein YapE [YapE (VF0505)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	1414	1962	-	yopK/yopQ	1-549/549	===============	0/0	100.00	100.00	vfdb	NP_395154	(yopK/yopQ) type III secretion system effector YopK/YopQ regulating Yops injection from within host cells [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	2462	3430	+	yopT	1-969/969	===============	0/0	100.00	100.00	vfdb	NP_395155	(yopT) type III secretion system effector YopT cysteine protease  [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	3430	3828	+	sycT	1-399/399	===============	0/0	100.00	100.00	vfdb	NP_395156	(sycT) chaperone for YopT [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	6188	7417	-	yopM	1-1230/1230	===============	0/0	100.00	100.00	vfdb	NP_395161	(yopM) type III secretion system effector YopM [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	9146	10066	-	yopD	1-921/921	===============	0/0	100.00	100.00	vfdb	NP_395162	(yopD) type III secretion system hydrophobic translocator pore protein YopD [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	10085	11290	-	yopB	1-1206/1206	===============	0/0	100.00	100.00	vfdb	NP_395163	(yopB) type III secretion system hydrophobic translocator pore protein YopB [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	11268	11774	-	sycD/lcrH	1-507/507	===============	0/0	100.00	100.00	vfdb	NP_395164	(sycD/lcrH) chaperone for translocator YopB and YopD [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	11787	12767	-	lcrV	1-981/981	===============	0/0	100.00	100.00	vfdb	NP_395165	(lcrV) type III secretion system hydrophilic translocator needle tip protein LcrV [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	12769	13056	-	lcrG	1-288/288	===============	0/0	100.00	100.00	vfdb	NP_395166	(lcrG) chaperone for tip protein LcrV [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	13098	13538	-	lcrR	1-441/441	===============	0/0	100.00	99.77	vfdb	NP_395167	(lcrR) low calcium response protein R [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	13535	15649	-	yscV/lcrD	1-2115/2115	===============	0/0	100.00	100.00	vfdb	NP_395168	(yscV/lcrD) type III secretion system major export apparatus protein YscV [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	15636	15980	-	yscY	1-345/345	===============	0/0	100.00	100.00	vfdb	NP_395169	(yscY) type III secretion system protein YscY [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	15977	16345	-	yscX	1-369/369	===============	0/0	100.00	100.00	vfdb	NP_395170	(yscX) type III secretion system protein YscX [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	16342	16713	-	sycN	1-372/372	===============	0/0	100.00	100.00	vfdb	NP_395171	(sycN) chaperone for YopN [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	16700	16978	-	tyeA	1-279/279	===============	0/0	100.00	100.00	vfdb	NP_395172	(tyeA) chaperone for YopN [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	16959	17840	-	lcrE/yopN	1-882/882	===============	0/0	100.00	100.00	vfdb	NP_395173	(lcrE/yopN) type III secretion system gatekeeper YopN [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	18038	19357	+	yscN	1-1320/1320	===============	0/0	100.00	100.00	vfdb	NP_395174	(yscN) type III secretion system ATPase YscN [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	19354	19818	+	yscO	1-465/465	===============	0/0	100.00	100.00	vfdb	NP_395175	(yscO) type III secretion system stalk YscO [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	19818	21185	+	yscP	1-1368/1368	===============	0/0	100.00	100.00	vfdb	NP_395176	(yscP) type III secretion system needle length regulator [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	21182	22105	+	yscQ	1-924/924	===============	0/0	100.00	100.00	vfdb	NP_395177	(yscQ) type III secretion system C ring protein [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	22102	22755	+	yscR	1-654/654	===============	0/0	100.00	100.00	vfdb	NP_395178	(yscR) type III secretion system minor export apparatus protein YscR [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	22757	23023	+	yscS	1-267/267	===============	0/0	100.00	100.00	vfdb	NP_395179	(yscS) type III secretion system minor export apparatus protein YscS [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	23020	23805	+	yscT	1-786/786	===============	0/0	100.00	100.00	vfdb	NP_395180	(yscT) type III secretion system minor export apparatus protein YscT [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	23805	24869	+	yscU	1-1065/1065	===============	0/0	100.00	100.00	vfdb	NP_395181	(yscU) type III secretion system export apparatus switch protein YscU [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	25445	25840	+	virG/yscW	1-396/396	===============	0/0	100.00	100.00	vfdb	NP_395182	(virG/yscW) type III secretion system pilotin YscW [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	26858	26956	+	yscA	1-99/99	===============	0/0	100.00	100.00	vfdb	NP_395184	(yscA) type III secretion system protein YscA [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	27182	27595	+	yscB	1-414/414	===============	0/0	100.00	100.00	vfdb	NP_395185	(yscB) chaperone for YopN [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	27601	29424	+	yscC	1-1824/1824	===============	0/0	100.00	100.00	vfdb	NP_395186	(yscC) type III secretion system secretin YscC [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	29421	30680	+	yscD	1-1260/1260	===============	0/0	100.00	100.00	vfdb	NP_395187	(yscD) type III secretion system outer MS ring protein YscD [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	30677	30877	+	yscE	1-201/201	===============	0/0	100.00	100.00	vfdb	NP_395188	(yscE) YscE chaperone-like protein for YscF [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	30878	31141	+	yscF	1-264/264	===============	0/0	100.00	100.00	vfdb	NP_395189	(yscF) type III secretion system needle filament protein YscF [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	31143	31490	+	yscG	1-348/348	===============	0/0	100.00	100.00	vfdb	NP_395190	(yscG) YscG chaperone-like protein for YscF [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	31487	31984	+	yopR/yscH/lcrP	1-498/498	===============	0/0	100.00	100.00	vfdb	NP_395191	(yopR/yscH/lcrP) type III secretion system YopR [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	31985	32332	+	lcrO/yscI	1-348/348	===============	0/0	100.00	100.00	vfdb	NP_395192	(lcrO/yscI) type III secretion system inner rod protein LcrQ/YscJ [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	32339	33073	+	ylpB/yscJ	1-735/735	===============	0/0	100.00	100.00	vfdb	NP_395193	(ylpB/yscJ) type III secretion system inner MS ring protein YscJ [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	33073	33702	+	yscK	1-630/630	===============	0/0	100.00	100.00	vfdb	NP_395194	(yscK) type III secretion system accessory cytosolic protein YscK [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	33648	34313	+	yscL	1-666/666	===============	0/0	100.00	100.00	vfdb	NP_395195	(yscL) type III secretion system stator YscL [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	34538	34885	+	lcrQ/yscM	1-348/348	===============	0/0	100.00	100.00	vfdb	NP_395196	(lcrQ/yscM) type III secretion system regulatory protein LcrQ [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	36974	38380	-	yopH	1-1407/1407	===============	0/0	100.00	100.00	vfdb	NP_395201	(yopH) type III secretion system effector YopH protein tyrosine phosphatase [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	40063	40929	-	yopJ/yopP	1-867/867	===============	0/0	100.00	99.89	vfdb	NP_395205	(yopJ/yopP) type III secretion system effector YopP/YopJ acetyltransferase [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_35	41325	43523	-	yopO/ypkA	1-2199/2199	===============	0/0	100.00	100.00	vfdb	NP_395206	(yopO/ypkA) type III secretion system effector YopO regulating actin polymerization [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_57	28443	28955	-	caf1	1-513/513	===============	0/0	100.00	100.00	vfdb	NP_395430	(caf1) putative F1 capsule antigen [F1 antigen (VF0138)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_57	29036	31537	-	caf1A	1-2502/2502	===============	0/0	100.00	100.00	vfdb	NP_395429	(caf1A) putative F1 capsule anchoring protein [F1 antigen (VF0138)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_57	31562	32338	-	caf1M	1-777/777	===============	0/0	100.00	100.00	vfdb	NP_395428	(caf1M) putative F1 chaperone protein [F1 antigen (VF0138)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_57	32648	33571	+	caf1R	1-924/924	===============	0/0	100.00	100.00	vfdb	NP_395427	(caf1R) putative F1 operon positive regulatory protein [F1 antigen (VF0138)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_74	5710	7383	+	cheD	1-1674/1674	========/======	2/4	99.88	80.07	vfdb	YP_001006778	(cheD) methyl-accepting chemotaxis protein CheD [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_74	9396	10222	+	cheR	2-828/828	===============	0/0	99.88	85.01	vfdb	YP_001006776	(cheR) chemotaxis methyltransferase CheR [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_74	10222	11270	+	cheB	1-1049/1050	===============	0/0	99.90	83.51	vfdb	YP_001006775	(cheB) chemotaxis-specific methylesterase CheB [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_74	11372	11761	+	cheY	1-390/390	===============	0/0	100.00	91.54	vfdb	YP_001006774	(cheY) chemotaxis regulatory protein CheY [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_74	11771	12402	+	cheZ	1-632/645	===============	0/0	97.98	85.76	vfdb	YP_001006773	(cheZ) chemotaxis regulator CheZ [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	2370	2809	-	flgN	1-440/441	===============	0/0	99.77	80.23	vfdb	YP_001006767	(flgN) flagella synthesis protein FlgN [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	2834	3078	-	flgM	8-252/258	===============	0/0	94.96	83.27	vfdb	YP_001006766	(flgM) negative regulator of flagellin synthesis [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	4218	4631	+	flgB	1-414/414	===============	0/0	100.00	89.37	vfdb	YP_001006764	(flgB) flagellar basal-body rod protein FlgB [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	4637	5041	+	flgC	1-405/405	===============	0/0	100.00	84.94	vfdb	YP_001006763	(flgC) flagellar basal-body rod protein FlgC [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	5935	7221	+	flgE	1-1260/1260	========/======	2/27	100.00	80.26	vfdb	YP_001006761	(flgE) flagellar hook protein FlgE [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	7898	8551	+	flgG	1-654/654	===============	0/0	100.00	83.79	vfdb	YP_001006759	(flgG) flagellar basal-body rod protein FlgG [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	8716	9384	+	flgH	16-684/684	===============	0/0	97.81	86.40	vfdb	YP_001006758	(flgH) flagellar L-ring protein precursor FlgH [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	9432	10508	+	flgI	1-1077/1077	===============	0/0	100.00	82.36	vfdb	YP_001006757	(flgI) flagellar P-ring protein precursor FlgI [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	10526	11421	+	flgJ	1-896/924	===============	0/0	96.97	80.47	vfdb	YP_001006756	(flgJ) flagellar rod assembly protein/muramidase FlgJ [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	12037	13685	+	flgK	1-1649/1665	========/======	2/2	98.98	80.42	vfdb	YP_001006755	(flgK) flagellar hook-associated protein 1 FlgK [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	25954	26222	-	fliQ	1-269/270	===============	0/0	99.63	82.16	vfdb	YP_001006752	(fliQ) flagellar biosynthetic protein FliQ [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	26330	27007	-	fliP	8-685/687	===============	0/0	98.69	84.22	vfdb	YP_001006751	(fliP) flagellar biosynthetic protein FliP [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	27685	28101	-	fliN	1-417/417	===============	0/0	100.00	83.45	vfdb	YP_001006749	(fliN) flagellar motor switch protein FliN [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	28094	29099	-	fliM	1-1005/1005	========/======	1/1	100.00	85.78	vfdb	YP_001006748	(fliM) flagellar motor switch protein FliM [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	29105	29575	-	fliL	1-471/471	===============	0/0	100.00	85.99	vfdb	YP_001006747	(fliL) flagellar basal body protein FliL [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	31191	31637	-	fliJ	1-447/447	===============	0/0	100.00	83.22	vfdb	YP_001006745	(fliJ) flagellar protein FliJ [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	33863	34855	-	fliG	1-993/993	===============	0/0	100.00	87.71	vfdb	YP_001006742	(fliG) flagellar motor switch protein G [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	34852	36564	-	fliF	1-1701/1701	========/======	6/22	99.71	81.08	vfdb	YP_001006741	(fliF) flagellar M-ring protein FliF [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	36917	37228	+	fliE	1-312/312	===============	0/0	100.00	82.69	vfdb	YP_001006740	(fliE) flagellar hook-basal body complex protein FliE [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	44130	44528	-	fliS	1-399/399	===============	0/0	100.00	83.96	vfdb	YP_001006732	(fliS) flagellar protein FliS [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	47692	48415	+	fliA	1-723/723	========/======	1/1	100.00	85.36	vfdb	YP_001006726	(fliA) flagellar biosynthesis sigma factor [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_8	48637	49142	+	fliZ	1-506/510	===============	0/0	99.22	83.60	vfdb	YP_001006725	(fliZ) alternative sigma factor regulatory protein [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
Prokka_on_dataset_61__gbk	KHHNCJJN_81	15351	17114	+	ymt	1-1764/1764	===============	0/0	100.00	100.00	vfdb	NP_395420	(ymt) murine toxin [Ymt (VF0137)] [Yersinia pestis CO92]	
